Job_Title,Company,Location,Salary,Skills,Experience,Job_Type,Industry
Cloud Engineer,Cognizant,Mumbai,1774543,"AWS, Docker, Kubernetes, Linux",0,Full-Time,SaaS
ML Engineer,Microsoft,Kolkata,2450301,"Python, PyTorch, Machine Learning",5,Full-Time,FinTech
AI Engineer,Infosys,Delhi,3263420,"Python, TensorFlow, Deep Learning",2,Full-Time,IT
Cloud Architect,Cognizant,Mumbai,3321909,"AWS, GCP, Kubernetes",3,Full-Time,Technology
Data Analyst,Microsoft,Hyderabad,1526944,"SQL, Tableau, Excel",0,Full-Time,Consulting
Product Analyst,Google,Kolkata,3420721,"SQL, Python, Tableau",3,Full-Time,Technology
Software Engineer,Zoho,Noida,947059,"Java, Spring Boot, MySQL",0,Full-Time,Technology
Cyber Security Analyst,TCS,Mumbai,2448463,"Network Security, SIEM, Python",8,Full-Time,Consulting
Software Engineer,IBM,Chennai,3300023,"Python, Django, PostgreSQL",7,Full-Time,FinTech
Cloud Architect,Paytm,Kolkata,2289880,"AWS, GCP, Kubernetes",8,Full-Time,Security
Cloud Architect,Cognizant,Mumbai,2387729,"AWS, GCP, Kubernetes",7,Full-Time,SaaS
Cyber Security Analyst,Capgemini,Mumbai,2532547,"Network Security, SIEM, Python",8,Full-Time,Consulting
Data Scientist,Cognizant,Chennai,1483537,"Python, TensorFlow, Deep Learning",4,Full-Time,FinTech
Data Scientist,Accenture,Noida,1132629,"Python, Machine Learning, SQL, Pandas",2,Full-Time,Security
Frontend Developer,Google,Chennai,2240082,"React, TypeScript, CSS",1,Full-Time,Consulting
Data Analyst,Google,Bangalore,2262209,"Python, SQL, Tableau",3,Full-Time,Consulting
AI Engineer,Cognizant,Noida,1975383,"Python, TensorFlow, Deep Learning",0,Full-Time,FinTech
BI Developer,Flipkart,Mumbai,3030224,"Power BI, SQL, DAX",8,Full-Time,Technology
Backend Developer,TCS,Noida,2536930,"Python, Django, PostgreSQL",6,Full-Time,Security
DevOps Engineer,Paytm,Kolkata,1192247,"Docker, Kubernetes, AWS, Jenkins",6,Full-Time,FinTech
Cloud Engineer,Oracle,Bangalore,2152640,"AWS, Docker, Kubernetes, Linux",0,Full-Time,Security
Business Analyst,Wipro,Bangalore,2436503,"Excel, SQL, Power BI, Tableau",2,Full-Time,Consulting
Data Engineer,Amazon,Chennai,2407147,"AWS, Spark, ETL, SQL",3,Full-Time,E-Commerce
Cyber Security Analyst,Paytm,Hyderabad,1558103,"Network Security, SIEM, Python",6,Full-Time,IT
BI Developer,Amazon,Mumbai,718462,"Power BI, SQL, DAX",8,Full-Time,SaaS
DevOps Engineer,Accenture,Mumbai,630149,"Docker, Kubernetes, AWS, Jenkins",0,Full-Time,FinTech
Software Engineer,Microsoft,Hyderabad,1029409,"Java, Spring Boot, MySQL",3,Full-Time,Consulting
BI Developer,Wipro,Hyderabad,2047258,"Power BI, SQL, DAX",4,Full-Time,E-Commerce
Data Scientist,Oracle,Noida,1808443,"Python, TensorFlow, Deep Learning",0,Full-Time,Security
Frontend Developer,HCL,Mumbai,2983438,"JavaScript, React, HTML, CSS",1,Full-Time,Security
Cyber Security Analyst,Oracle,Hyderabad,3369990,"Network Security, SIEM, Python",4,Full-Time,E-Commerce
Cloud Engineer,Amazon,Hyderabad,3274621,"AWS, Docker, Kubernetes, Linux",6,Full-Time,IT
Cloud Architect,Infosys,Noida,2556054,"AWS, GCP, Kubernetes",6,Full-Time,Security
Product Analyst,Wipro,Noida,3466667,"SQL, Python, Tableau",7,Full-Time,Security
Cloud Engineer,Zoho,Kolkata,3083323,"AWS, Docker, Kubernetes, Linux",4,Full-Time,Consulting
Cloud Architect,Paytm,Mumbai,1851843,"AWS, GCP, Kubernetes",4,Full-Time,E-Commerce
Product Analyst,Zoho,Kolkata,1522837,"SQL, Python, Tableau",7,Full-Time,E-Commerce
Data Analyst,Wipro,Kolkata,1863208,"Python, SQL, Power BI, Excel",7,Full-Time,E-Commerce
Cyber Security Analyst,Cognizant,Delhi,1927484,"Network Security, SIEM, Python",4,Full-Time,FinTech
Frontend Developer,HCL,Noida,1512320,"React, TypeScript, CSS",1,Full-Time,FinTech
Cyber Security Analyst,Microsoft,Kolkata,3396625,"Network Security, SIEM, Python",3,Full-Time,SaaS
Data Analyst,Accenture,Noida,1734113,"Python, SQL, Tableau",1,Full-Time,Technology
Backend Developer,IBM,Chennai,2484998,"Python, Django, PostgreSQL",5,Full-Time,Security
Cloud Engineer,HCL,Kolkata,1975600,"AWS, Docker, Kubernetes, Linux",5,Full-Time,E-Commerce
Backend Developer,HCL,Mumbai,1006067,"Python, Django, PostgreSQL",3,Full-Time,IT
BI Developer,Wipro,Mumbai,3394755,"Power BI, SQL, DAX",8,Full-Time,Security
AI Engineer,Zoho,Delhi,2972906,"Python, TensorFlow, Deep Learning",4,Full-Time,SaaS
Frontend Developer,Amazon,Pune,1454133,"React, TypeScript, CSS",4,Full-Time,IT
BI Developer,Cognizant,Bangalore,1030927,"Power BI, SQL, DAX",8,Full-Time,FinTech
Backend Developer,Paytm,Kolkata,3175419,"Node.js, MongoDB, Express",2,Full-Time,SaaS
Data Analyst,Microsoft,Kolkata,2468793,"SQL, Tableau, Excel",4,Full-Time,Technology
Data Analyst,Infosys,Hyderabad,2503741,"SQL, Tableau, Excel",4,Full-Time,Consulting
Data Scientist,Wipro,Delhi,1136389,"Python, Machine Learning, SQL, Pandas",0,Full-Time,Technology
Data Scientist,Oracle,Mumbai,2245560,"Python, TensorFlow, Deep Learning",8,Full-Time,Consulting
Product Analyst,Paytm,Noida,1747189,"SQL, Python, Tableau",7,Full-Time,FinTech
ML Engineer,HCL,Hyderabad,3056977,"Python, PyTorch, Machine Learning",0,Full-Time,Security
Frontend Developer,Infosys,Pune,3270036,"JavaScript, React, HTML, CSS",4,Full-Time,Technology
Cloud Engineer,TCS,Noida,1156545,"AWS, Docker, Kubernetes, Linux",1,Full-Time,Security
ML Engineer,TCS,Mumbai,1721630,"Python, PyTorch, Machine Learning",7,Full-Time,Security
Backend Developer,Capgemini,Mumbai,798549,"Python, Django, PostgreSQL",7,Full-Time,SaaS
Cyber Security Analyst,Infosys,Mumbai,2283162,"Network Security, SIEM, Python",3,Full-Time,E-Commerce
Cloud Architect,TCS,Pune,799514,"AWS, GCP, Kubernetes",2,Full-Time,FinTech
BI Developer,Infosys,Kolkata,2341943,"Power BI, SQL, DAX",4,Full-Time,Security
Business Analyst,IBM,Kolkata,2599132,"Excel, SQL, Power BI, Tableau",4,Full-Time,IT
ML Engineer,HCL,Chennai,2312059,"Python, PyTorch, Machine Learning",0,Full-Time,IT
Data Scientist,Paytm,Bangalore,3328212,"Python, TensorFlow, Deep Learning",3,Full-Time,FinTech
Data Analyst,IBM,Kolkata,2473423,"SQL, Tableau, Excel",2,Full-Time,Technology
ML Engineer,Paytm,Kolkata,3162480,"Python, PyTorch, Machine Learning",6,Full-Time,Consulting
Data Engineer,Amazon,Hyderabad,1897996,"Python, Spark, Hadoop, SQL",6,Full-Time,E-Commerce
Business Analyst,Capgemini,Noida,1708873,"Excel, SQL, Power BI, Tableau",7,Full-Time,Consulting
Data Scientist,Amazon,Hyderabad,1558637,"Python, TensorFlow, Deep Learning",5,Full-Time,SaaS
Cloud Engineer,Paytm,Kolkata,3258427,"AWS, Docker, Kubernetes, Linux",0,Full-Time,IT
Frontend Developer,Oracle,Kolkata,2017412,"React, TypeScript, CSS",8,Full-Time,SaaS
Data Analyst,IBM,Pune,1620115,"SQL, Tableau, Excel",3,Full-Time,Consulting
Product Analyst,TCS,Mumbai,1009297,"SQL, Python, Tableau",7,Full-Time,E-Commerce
Cloud Engineer,Google,Hyderabad,2816310,"AWS, Docker, Kubernetes, Linux",0,Full-Time,SaaS
Product Analyst,Infosys,Pune,2435452,"SQL, Python, Tableau",1,Full-Time,Security
Backend Developer,Cognizant,Noida,3458710,"Python, Django, PostgreSQL",8,Full-Time,Consulting
Frontend Developer,Wipro,Noida,2812173,"JavaScript, React, HTML, CSS",7,Full-Time,FinTech
Cloud Engineer,Cognizant,Noida,792804,"AWS, Docker, Kubernetes, Linux",2,Full-Time,SaaS
Cloud Engineer,Cognizant,Delhi,510759,"AWS, Docker, Kubernetes, Linux",4,Full-Time,SaaS
Software Engineer,Microsoft,Chennai,2758970,"Python, Django, PostgreSQL",7,Full-Time,FinTech
Cyber Security Analyst,Microsoft,Chennai,2082133,"Network Security, SIEM, Python",8,Full-Time,Security
Frontend Developer,Paytm,Noida,1479631,"JavaScript, React, HTML, CSS",6,Full-Time,E-Commerce
BI Developer,Flipkart,Noida,3457940,"Power BI, SQL, DAX",7,Full-Time,Security
Cyber Security Analyst,TCS,Pune,2577558,"Network Security, SIEM, Python",2,Full-Time,SaaS
Data Scientist,IBM,Kolkata,918221,"Python, Machine Learning, SQL, Pandas",7,Full-Time,Security
Software Engineer,Wipro,Hyderabad,3246351,"Python, Django, PostgreSQL",6,Full-Time,SaaS
Backend Developer,HCL,Noida,3114139,"Node.js, MongoDB, Express",5,Full-Time,SaaS
Data Engineer,Amazon,Kolkata,2093874,"Python, Spark, Hadoop, SQL",8,Full-Time,FinTech
Data Scientist,Capgemini,Delhi,3147281,"Python, Machine Learning, SQL, Pandas",3,Full-Time,Security
Data Scientist,Zoho,Hyderabad,912900,"Python, TensorFlow, Deep Learning",6,Full-Time,Technology
BI Developer,TCS,Chennai,621413,"Power BI, SQL, DAX",4,Full-Time,E-Commerce
Data Engineer,Wipro,Mumbai,2306431,"AWS, Spark, ETL, SQL",5,Full-Time,FinTech
DevOps Engineer,Wipro,Hyderabad,1212963,"Docker, Kubernetes, AWS, Jenkins",2,Full-Time,FinTech
DevOps Engineer,Flipkart,Pune,2587367,"Docker, Kubernetes, AWS, Jenkins",3,Full-Time,Consulting
DevOps Engineer,Cognizant,Bangalore,2427578,"Docker, Kubernetes, AWS, Jenkins",4,Full-Time,E-Commerce
DevOps Engineer,Infosys,Kolkata,1162597,"Docker, Kubernetes, AWS, Jenkins",8,Full-Time,FinTech
Backend Developer,Cognizant,Kolkata,3395384,"Python, Django, PostgreSQL",6,Full-Time,Technology
Business Analyst,Accenture,Noida,947336,"Excel, SQL, Power BI, Tableau",7,Full-Time,FinTech
Backend Developer,Paytm,Noida,592021,"Python, Django, PostgreSQL",4,Full-Time,IT
ML Engineer,HCL,Kolkata,3043453,"Python, PyTorch, Machine Learning",0,Full-Time,SaaS
Cyber Security Analyst,Zoho,Chennai,3046215,"Network Security, SIEM, Python",3,Full-Time,Security
Frontend Developer,Zoho,Pune,3342750,"JavaScript, React, HTML, CSS",4,Full-Time,Security
DevOps Engineer,Zoho,Kolkata,1795758,"Docker, Kubernetes, AWS, Jenkins",0,Full-Time,FinTech
Data Engineer,Flipkart,Delhi,878046,"AWS, Spark, ETL, SQL",2,Full-Time,Security
Business Analyst,Wipro,Chennai,1342194,"Excel, SQL, Power BI, Tableau",2,Full-Time,SaaS
Software Engineer,Zoho,Delhi,2521016,"Python, Django, PostgreSQL",4,Full-Time,SaaS
Data Scientist,Wipro,Mumbai,815828,"Python, TensorFlow, Deep Learning",7,Full-Time,SaaS
Cyber Security Analyst,Infosys,Noida,2034171,"Network Security, SIEM, Python",8,Full-Time,E-Commerce
Cloud Engineer,Amazon,Delhi,2407510,"AWS, Docker, Kubernetes, Linux",1,Full-Time,SaaS
DevOps Engineer,Capgemini,Mumbai,954436,"Docker, Kubernetes, AWS, Jenkins",5,Full-Time,IT
ML Engineer,Flipkart,Mumbai,1875758,"Python, PyTorch, Machine Learning",8,Full-Time,Security
Cloud Architect,Cognizant,Noida,3440530,"AWS, GCP, Kubernetes",7,Full-Time,Technology
Data Analyst,Microsoft,Hyderabad,1776597,"Python, SQL, Power BI, Excel",0,Full-Time,Technology
Product Analyst,Google,Kolkata,1069016,"SQL, Python, Tableau",8,Full-Time,Security
BI Developer,Oracle,Pune,2257945,"Power BI, SQL, DAX",8,Full-Time,Security
Data Scientist,Google,Delhi,3082232,"Python, Machine Learning, SQL, Pandas",7,Full-Time,Security
Data Engineer,Microsoft,Mumbai,2359683,"AWS, Spark, ETL, SQL",3,Full-Time,IT
DevOps Engineer,Flipkart,Chennai,2783655,"Docker, Kubernetes, AWS, Jenkins",5,Full-Time,Consulting
Backend Developer,Paytm,Kolkata,1012374,"Node.js, MongoDB, Express",3,Full-Time,Security
Frontend Developer,Zoho,Chennai,712141,"JavaScript, React, HTML, CSS",0,Full-Time,Technology
Cyber Security Analyst,Paytm,Mumbai,787771,"Network Security, SIEM, Python",3,Full-Time,SaaS
Cloud Architect,Zoho,Pune,1878078,"AWS, GCP, Kubernetes",3,Full-Time,E-Commerce
Cloud Architect,IBM,Delhi,1045226,"AWS, GCP, Kubernetes",2,Full-Time,IT
DevOps Engineer,TCS,Chennai,1052822,"Docker, Kubernetes, AWS, Jenkins",0,Full-Time,FinTech
Data Engineer,Cognizant,Bangalore,1230841,"Python, Spark, Hadoop, SQL",0,Full-Time,Security
Business Analyst,HCL,Hyderabad,976679,"Excel, SQL, Power BI, Tableau",8,Full-Time,Consulting
Cyber Security Analyst,Oracle,Hyderabad,2652676,"Network Security, SIEM, Python",5,Full-Time,FinTech
Frontend Developer,IBM,Delhi,3263639,"React, TypeScript, CSS",0,Full-Time,Security
Data Analyst,Paytm,Noida,2508995,"SQL, Tableau, Excel",0,Full-Time,Security
Data Scientist,Flipkart,Kolkata,3488027,"Python, Machine Learning, SQL, Pandas",7,Full-Time,IT
Data Engineer,Wipro,Delhi,775491,"AWS, Spark, ETL, SQL",2,Full-Time,Consulting
ML Engineer,Microsoft,Noida,1736890,"Python, PyTorch, Machine Learning",8,Full-Time,SaaS
BI Developer,Capgemini,Mumbai,3246065,"Power BI, SQL, DAX",1,Full-Time,Consulting
Product Analyst,Amazon,Kolkata,2235659,"SQL, Python, Tableau",3,Full-Time,Consulting
BI Developer,Google,Chennai,1810922,"Power BI, SQL, DAX",1,Full-Time,E-Commerce
Software Engineer,Infosys,Hyderabad,781577,"Java, Spring Boot, MySQL",7,Full-Time,Consulting
Data Scientist,IBM,Bangalore,1045743,"Python, TensorFlow, Deep Learning",5,Full-Time,Security
Data Scientist,Paytm,Noida,1983097,"Python, Machine Learning, SQL, Pandas",6,Full-Time,E-Commerce
ML Engineer,Infosys,Mumbai,1974911,"Python, PyTorch, Machine Learning",4,Full-Time,Security
AI Engineer,Amazon,Chennai,953900,"Python, TensorFlow, Deep Learning",3,Full-Time,SaaS
Backend Developer,Paytm,Bangalore,2299827,"Python, Django, PostgreSQL",3,Full-Time,IT
Software Engineer,Zoho,Delhi,3447332,"Python, Django, PostgreSQL",4,Full-Time,E-Commerce
Data Analyst,Oracle,Noida,1100840,"Python, SQL, Power BI, Excel",2,Full-Time,Technology
BI Developer,HCL,Mumbai,884859,"Power BI, SQL, DAX",0,Full-Time,Consulting
AI Engineer,Amazon,Delhi,1160222,"Python, TensorFlow, Deep Learning",5,Full-Time,SaaS
ML Engineer,Wipro,Pune,720657,"Python, PyTorch, Machine Learning",1,Full-Time,Security
Data Scientist,Capgemini,Noida,2358550,"Python, TensorFlow, Deep Learning",4,Full-Time,FinTech
AI Engineer,Accenture,Hyderabad,1645744,"Python, TensorFlow, Deep Learning",6,Full-Time,Consulting
Data Scientist,Capgemini,Kolkata,3344652,"Python, TensorFlow, Deep Learning",4,Full-Time,IT
Frontend Developer,TCS,Bangalore,3013751,"JavaScript, React, HTML, CSS",6,Full-Time,E-Commerce
Frontend Developer,Cognizant,Chennai,1571726,"JavaScript, React, HTML, CSS",2,Full-Time,IT
AI Engineer,Wipro,Noida,1236917,"Python, TensorFlow, Deep Learning",6,Full-Time,FinTech
Cloud Engineer,Google,Bangalore,802306,"AWS, Docker, Kubernetes, Linux",5,Full-Time,IT
AI Engineer,Oracle,Noida,1813071,"Python, TensorFlow, Deep Learning",1,Full-Time,Security
DevOps Engineer,Infosys,Noida,1714314,"Docker, Kubernetes, AWS, Jenkins",6,Full-Time,E-Commerce
Software Engineer,Flipkart,Chennai,3392434,"Java, Spring Boot, MySQL",7,Full-Time,Consulting
Cloud Architect,Google,Noida,1520543,"AWS, GCP, Kubernetes",1,Full-Time,Consulting
Cloud Architect,Accenture,Chennai,1924021,"AWS, GCP, Kubernetes",4,Full-Time,IT
Cloud Engineer,IBM,Mumbai,2725517,"AWS, Docker, Kubernetes, Linux",1,Full-Time,E-Commerce
BI Developer,Infosys,Pune,1490983,"Power BI, SQL, DAX",2,Full-Time,Technology
Software Engineer,Infosys,Pune,3249404,"Python, Django, PostgreSQL",2,Full-Time,Consulting
Cyber Security Analyst,Flipkart,Chennai,3356880,"Network Security, SIEM, Python",7,Full-Time,Technology
AI Engineer,Microsoft,Delhi,2466797,"Python, TensorFlow, Deep Learning",1,Full-Time,FinTech
Data Analyst,Infosys,Delhi,2627925,"SQL, Tableau, Excel",5,Full-Time,Consulting
Data Analyst,Paytm,Delhi,2046597,"Python, SQL, Power BI, Excel",0,Full-Time,Security
Cloud Architect,Oracle,Noida,3079532,"AWS, GCP, Kubernetes",1,Full-Time,FinTech
Cloud Engineer,Flipkart,Mumbai,2386319,"AWS, Docker, Kubernetes, Linux",0,Full-Time,FinTech
AI Engineer,TCS,Kolkata,1132757,"Python, TensorFlow, Deep Learning",8,Full-Time,SaaS
Product Analyst,Infosys,Pune,3496056,"SQL, Python, Tableau",5,Full-Time,Technology
BI Developer,IBM,Pune,2343068,"Power BI, SQL, DAX",7,Full-Time,E-Commerce
Product Analyst,Google,Chennai,2124942,"SQL, Python, Tableau",4,Full-Time,SaaS
DevOps Engineer,Amazon,Hyderabad,776454,"Docker, Kubernetes, AWS, Jenkins",5,Full-Time,E-Commerce
Backend Developer,Infosys,Pune,1898221,"Python, Django, PostgreSQL",2,Full-Time,E-Commerce
DevOps Engineer,Oracle,Hyderabad,1040862,"Docker, Kubernetes, AWS, Jenkins",6,Full-Time,FinTech
Business Analyst,Capgemini,Hyderabad,1036005,"Excel, SQL, Power BI, Tableau",5,Full-Time,FinTech
Data Engineer,Cognizant,Pune,2020844,"Python, Spark, Hadoop, SQL",0,Full-Time,E-Commerce
Cyber Security Analyst,Accenture,Pune,1305328,"Network Security, SIEM, Python",7,Full-Time,IT
Backend Developer,Zoho,Bangalore,2629404,"Python, Django, PostgreSQL",1,Full-Time,SaaS
ML Engineer,Google,Pune,3005033,"Python, PyTorch, Machine Learning",2,Full-Time,Technology
Cloud Architect,TCS,Noida,2335735,"AWS, GCP, Kubernetes",2,Full-Time,Security
BI Developer,Oracle,Delhi,2363104,"Power BI, SQL, DAX",3,Full-Time,Technology
Cloud Engineer,Zoho,Kolkata,1798002,"AWS, Docker, Kubernetes, Linux",3,Full-Time,E-Commerce
DevOps Engineer,Zoho,Delhi,2436426,"Docker, Kubernetes, AWS, Jenkins",7,Full-Time,FinTech
Cloud Engineer,Paytm,Mumbai,1179721,"AWS, Docker, Kubernetes, Linux",6,Full-Time,SaaS
Backend Developer,Microsoft,Chennai,3189299,"Node.js, MongoDB, Express",0,Full-Time,Security
Cloud Architect,Cognizant,Hyderabad,1022936,"AWS, GCP, Kubernetes",8,Full-Time,E-Commerce
AI Engineer,Paytm,Noida,1118025,"Python, TensorFlow, Deep Learning",8,Full-Time,Technology
Cloud Architect,Flipkart,Bangalore,1966266,"AWS, GCP, Kubernetes",7,Full-Time,IT
Business Analyst,Accenture,Noida,2068508,"Excel, SQL, Power BI, Tableau",8,Full-Time,E-Commerce
Frontend Developer,Flipkart,Hyderabad,1836661,"React, TypeScript, CSS",0,Full-Time,SaaS
Software Engineer,Cognizant,Kolkata,660655,"Java, Spring Boot, MySQL",2,Full-Time,SaaS
BI Developer,Oracle,Bangalore,2381570,"Power BI, SQL, DAX",7,Full-Time,IT
Backend Developer,IBM,Noida,1127130,"Node.js, MongoDB, Express",3,Full-Time,SaaS
Backend Developer,Infosys,Bangalore,1763119,"Node.js, MongoDB, Express",3,Full-Time,Consulting
DevOps Engineer,Infosys,Kolkata,763432,"Docker, Kubernetes, AWS, Jenkins",7,Full-Time,Security
Cloud Engineer,Cognizant,Noida,1102204,"AWS, Docker, Kubernetes, Linux",3,Full-Time,FinTech
